"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|SE3","10318.00","9912.00"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|SE3","10135.00","9683.00"
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|SE3","9932.00","9457.00"
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|SE3","9771.00","9287.00"
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|SE3","9694.00","9208.00"
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|SE3","9756.00","9253.00"
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|SE3","9950.00","9513.00"
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|SE3","10155.00","9744.00"
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|SE3","10255.00","9947.00"
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|SE3","10373.00","10052.00"
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|SE3","10654.00","10333.00"
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|SE3","10921.00","10684.00"
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|SE3","11086.00","10895.00"
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|SE3","11141.00","10953.00"
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|SE3","11209.00","11144.00"
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|SE3","11552.00","11544.00"
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|SE3","11830.00","11862.00"
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|SE3","11864.00","11945.00"
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|SE3","11726.00","11824.00"
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|SE3","11500.00","11481.00"
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|SE3","11224.00","11101.00"
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|SE3","10919.00","10763.00"
