"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"03/01/2015 08:00:00 - 03/01/2015 09:00:00","BZN|SE3","Without sequence","26.98",""
"03/01/2015 09:00:00 - 03/01/2015 10:00:00","BZN|SE3","Without sequence","27.52",""
"03/01/2015 10:00:00 - 03/01/2015 11:00:00","BZN|SE3","Without sequence","27.72",""
"03/01/2015 11:00:00 - 03/01/2015 12:00:00","BZN|SE3","Without sequence","27.73",""
"03/01/2015 12:00:00 - 03/01/2015 13:00:00","BZN|SE3","Without sequence","27.66",""
"03/01/2015 13:00:00 - 03/01/2015 14:00:00","BZN|SE3","Without sequence","27.65",""
"03/01/2015 14:00:00 - 03/01/2015 15:00:00","BZN|SE3","Without sequence","27.81",""
"03/01/2015 15:00:00 - 03/01/2015 16:00:00","BZN|SE3","Without sequence","28.37",""
"03/01/2015 16:00:00 - 03/01/2015 17:00:00","BZN|SE3","Without sequence","29.23",""
"03/01/2015 17:00:00 - 03/01/2015 18:00:00","BZN|SE3","Without sequence","29.53",""
"03/01/2015 18:00:00 - 03/01/2015 19:00:00","BZN|SE3","Without sequence","29.75",""
"03/01/2015 19:00:00 - 03/01/2015 20:00:00","BZN|SE3","Without sequence","29.46",""
"03/01/2015 20:00:00 - 03/01/2015 21:00:00","BZN|SE3","Without sequence","28.69",""
"03/01/2015 21:00:00 - 03/01/2015 22:00:00","BZN|SE3","Without sequence","27.93",""
"03/01/2015 22:00:00 - 03/01/2015 23:00:00","BZN|SE3","Without sequence","27.7",""
"03/01/2015 23:00:00 - 04/01/2015 00:00:00","BZN|SE3","Without sequence","27.25",""
"04/01/2015 00:00:00 - 04/01/2015 01:00:00","BZN|SE3","Without sequence","27.55",""
"04/01/2015 01:00:00 - 04/01/2015 02:00:00","BZN|SE3","Without sequence","27.38",""
"04/01/2015 02:00:00 - 04/01/2015 03:00:00","BZN|SE3","Without sequence","27.17",""
"04/01/2015 03:00:00 - 04/01/2015 04:00:00","BZN|SE3","Without sequence","27.03",""
"04/01/2015 04:00:00 - 04/01/2015 05:00:00","BZN|SE3","Without sequence","27.04",""
"04/01/2015 05:00:00 - 04/01/2015 06:00:00","BZN|SE3","Without sequence","27.19",""
"04/01/2015 06:00:00 - 04/01/2015 07:00:00","BZN|SE3","Without sequence","27.13",""
"04/01/2015 07:00:00 - 04/01/2015 08:00:00","BZN|SE3","Without sequence","27.06",""
"04/01/2015 08:00:00 - 04/01/2015 09:00:00","BZN|SE3","Without sequence","27.63",""
"04/01/2015 09:00:00 - 04/01/2015 10:00:00","BZN|SE3","Without sequence","28.03",""
"04/01/2015 10:00:00 - 04/01/2015 11:00:00","BZN|SE3","Without sequence","28.24",""
"04/01/2015 11:00:00 - 04/01/2015 12:00:00","BZN|SE3","Without sequence","28.32",""
"04/01/2015 12:00:00 - 04/01/2015 13:00:00","BZN|SE3","Without sequence","28.24",""
"04/01/2015 13:00:00 - 04/01/2015 14:00:00","BZN|SE3","Without sequence","28.27",""
"04/01/2015 14:00:00 - 04/01/2015 15:00:00","BZN|SE3","Without sequence","28.32",""
"04/01/2015 15:00:00 - 04/01/2015 16:00:00","BZN|SE3","Without sequence","28.7",""
"04/01/2015 16:00:00 - 04/01/2015 17:00:00","BZN|SE3","Without sequence","29.58",""
"04/01/2015 17:00:00 - 04/01/2015 18:00:00","BZN|SE3","Without sequence","29.92",""
"04/01/2015 18:00:00 - 04/01/2015 19:00:00","BZN|SE3","Without sequence","29.91",""
"04/01/2015 19:00:00 - 04/01/2015 20:00:00","BZN|SE3","Without sequence","29.77",""
"04/01/2015 20:00:00 - 04/01/2015 21:00:00","BZN|SE3","Without sequence","29.45",""
"04/01/2015 21:00:00 - 04/01/2015 22:00:00","BZN|SE3","Without sequence","29.06",""
"04/01/2015 22:00:00 - 04/01/2015 23:00:00","BZN|SE3","Without sequence","29.03",""
"04/01/2015 23:00:00 - 05/01/2015 00:00:00","BZN|SE3","Without sequence","28.02",""
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|SE3","Without sequence","29.06",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|SE3","Without sequence","28.88",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|SE3","Without sequence","28.87",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|SE3","Without sequence","28.97",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|SE3","Without sequence","29.34",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|SE3","Without sequence","30.33",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|SE3","Without sequence","31.39",""
