"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|SE3","8741.00","9560.00"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|SE3","8525.00","9520.00"
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|SE3","8308.00","9277.00"
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|SE3","8194.00","9132.00"
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|SE3","8215.00","9083.00"
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|SE3","8352.00","9102.00"
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|SE3","8570.00","9353.00"
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|SE3","8754.00","9567.00"
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|SE3","8911.00","9629.00"
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|SE3","9014.00","9733.00"
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|SE3","9302.00","10024.00"
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|SE3","9553.00","10248.00"
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|SE3","9688.00","10425.00"
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|SE3","9723.00","10528.00"
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|SE3","9762.00","10642.00"
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|SE3","10104.00","10902.00"
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|SE3","10344.00","11095.00"
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|SE3","10329.00","11079.00"
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|SE3","10142.00","10858.00"
"01/01/2015 19:00:00 - 01/01/2015 20:00:00","BZN|SE3","9939.00","10580.00"
"01/01/2015 20:00:00 - 01/01/2015 21:00:00","BZN|SE3","9579.00","10334.00"
"01/01/2015 21:00:00 - 01/01/2015 22:00:00","BZN|SE3","9223.00","10042.00"
"01/01/2015 22:00:00 - 01/01/2015 23:00:00","BZN|SE3","8756.00","9611.00"
"01/01/2015 23:00:00 - 02/01/2015 00:00:00","BZN|SE3","8344.00","9279.00"
"02/01/2015 00:00:00 - 02/01/2015 01:00:00","BZN|SE3","8082.00","8795.00"
"02/01/2015 01:00:00 - 02/01/2015 02:00:00","BZN|SE3","7860.00","8579.00"
"02/01/2015 02:00:00 - 02/01/2015 03:00:00","BZN|SE3","7779.00","8471.00"
"02/01/2015 03:00:00 - 02/01/2015 04:00:00","BZN|SE3","7780.00","8460.00"
"02/01/2015 04:00:00 - 02/01/2015 05:00:00","BZN|SE3","7914.00","8482.00"
"02/01/2015 05:00:00 - 02/01/2015 06:00:00","BZN|SE3","8317.00","8793.00"
"02/01/2015 06:00:00 - 02/01/2015 07:00:00","BZN|SE3","9083.00","9501.00"
"02/01/2015 07:00:00 - 02/01/2015 08:00:00","BZN|SE3","9942.00","10235.00"
"02/01/2015 08:00:00 - 02/01/2015 09:00:00","BZN|SE3","10391.00","10652.00"
"02/01/2015 09:00:00 - 02/01/2015 10:00:00","BZN|SE3","10372.00","10875.00"
"02/01/2015 10:00:00 - 02/01/2015 11:00:00","BZN|SE3","10544.00","11125.00"
"02/01/2015 11:00:00 - 02/01/2015 12:00:00","BZN|SE3","10745.00","11272.00"
"02/01/2015 12:00:00 - 02/01/2015 13:00:00","BZN|SE3","10746.00","11226.00"
"02/01/2015 13:00:00 - 02/01/2015 14:00:00","BZN|SE3","10781.00","11211.00"
"02/01/2015 14:00:00 - 02/01/2015 15:00:00","BZN|SE3","10917.00","11275.00"
"02/01/2015 15:00:00 - 02/01/2015 16:00:00","BZN|SE3","11297.00","11639.00"
"02/01/2015 16:00:00 - 02/01/2015 17:00:00","BZN|SE3","11621.00","11982.00"
