"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|SE3","Without sequence","26.33",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|SE3","Without sequence","26.43",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|SE3","Without sequence","26.1",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|SE3","Without sequence","24.7",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|SE3","Without sequence","24.74",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|SE3","Without sequence","18.01",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|SE3","Without sequence","17.78",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|SE3","Without sequence","17.8",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|SE3","Without sequence","19.76",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|SE3","Without sequence","20.73",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|SE3","Without sequence","24.76",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|SE3","Without sequence","25.68",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|SE3","Without sequence","24.09",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|SE3","Without sequence","25.01",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|SE3","Without sequence","25.81",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|SE3","Without sequence","26.46",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|SE3","Without sequence","27.03",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|SE3","Without sequence","27.43",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|SE3","Without sequence","27.29",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|SE3","Without sequence","26.96",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|SE3","Without sequence","26.7",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|SE3","Without sequence","26.47",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|SE3","Without sequence","26.09",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|SE3","Without sequence","24.88",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|SE3","Without sequence","25.28",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|SE3","Without sequence","23.16",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|SE3","Without sequence","24.78",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|SE3","Without sequence","25.03",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|SE3","Without sequence","25.73",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|SE3","Without sequence","26.84",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|SE3","Without sequence","27.8",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|SE3","Without sequence","30.5",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|SE3","Without sequence","31.93",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|SE3","Without sequence","33.53",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|SE3","Without sequence","35.04",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|SE3","Without sequence","35.22",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|SE3","Without sequence","34.56",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|SE3","Without sequence","34.1",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|SE3","Without sequence","35.98",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|SE3","Without sequence","38.05",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|SE3","Without sequence","41.67",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|SE3","Without sequence","42.39",""
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|SE3","Without sequence","37.79",""
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|SE3","Without sequence","33.7",""
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|SE3","Without sequence","30.88",""
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|SE3","Without sequence","28.85",""
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|SE3","Without sequence","27.99",""
"02/01/2018 23:00:00 - 03/01/2018 00:00:00","BZN|SE3","Without sequence","27.6",""
"03/01/2018 00:00:00 - 03/01/2018 01:00:00","BZN|SE3","Without sequence","27.12",""
"03/01/2018 01:00:00 - 03/01/2018 02:00:00","BZN|SE3","Without sequence","26.61",""
"03/01/2018 02:00:00 - 03/01/2018 03:00:00","BZN|SE3","Without sequence","26.26",""
"03/01/2018 03:00:00 - 03/01/2018 04:00:00","BZN|SE3","Without sequence","26.23",""
"03/01/2018 04:00:00 - 03/01/2018 05:00:00","BZN|SE3","Without sequence","26.42",""
"03/01/2018 05:00:00 - 03/01/2018 06:00:00","BZN|SE3","Without sequence","27.47",""
