"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|SE3","Without sequence","16.39",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|SE3","Without sequence","16.04",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|SE3","Without sequence","15.74",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|SE3","Without sequence","15.57",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|SE3","Without sequence","15.47",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|SE3","Without sequence","15.75",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|SE3","Without sequence","15.36",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|SE3","Without sequence","15.37",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|SE3","Without sequence","15.19",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|SE3","Without sequence","15.39",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|SE3","Without sequence","15.78",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|SE3","Without sequence","16.15",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|SE3","Without sequence","16.5",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|SE3","Without sequence","16.72",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|SE3","Without sequence","17.17",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|SE3","Without sequence","18.0",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|SE3","Without sequence","18.53",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|SE3","Without sequence","19.11",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|SE3","Without sequence","18.68",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|SE3","Without sequence","17.93",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|SE3","Without sequence","17.69",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|SE3","Without sequence","17.33",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|SE3","Without sequence","16.75",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|SE3","Without sequence","16.25",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|SE3","Without sequence","16.47",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|SE3","Without sequence","15.89",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|SE3","Without sequence","15.03",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|SE3","Without sequence","13.19",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|SE3","Without sequence","12.69",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|SE3","Without sequence","12.94",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|SE3","Without sequence","13.59",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|SE3","Without sequence","14.25",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|SE3","Without sequence","15.7",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|SE3","Without sequence","15.72",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|SE3","Without sequence","15.97",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|SE3","Without sequence","16.14",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|SE3","Without sequence","15.87",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|SE3","Without sequence","15.98",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|SE3","Without sequence","16.12",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|SE3","Without sequence","16.57",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|SE3","Without sequence","17.29",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|SE3","Without sequence","17.52",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|SE3","Without sequence","17.37",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|SE3","Without sequence","16.95",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|SE3","Without sequence","16.56",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|SE3","Without sequence","15.83",""
"02/01/2016 22:00:00 - 02/01/2016 23:00:00","BZN|SE3","Without sequence","15.82",""
"02/01/2016 23:00:00 - 03/01/2016 00:00:00","BZN|SE3","Without sequence","15.31",""
"03/01/2016 00:00:00 - 03/01/2016 01:00:00","BZN|SE3","Without sequence","15.99",""
"03/01/2016 01:00:00 - 03/01/2016 02:00:00","BZN|SE3","Without sequence","15.87",""
