"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|SE3","9250.00","9614.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|SE3","9123.00","9481.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|SE3","8970.00","9314.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|SE3","8819.00","9197.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|SE3","8782.00","9199.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|SE3","8924.00","9352.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|SE3","9165.00","9588.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|SE3","9413.00","9839.00"
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|SE3","9611.00","10071.00"
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|SE3","9776.00","10242.00"
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|SE3","10066.00","10519.00"
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|SE3","10312.00","10815.00"
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|SE3","10454.00","10921.00"
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|SE3","10542.00","11056.00"
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|SE3","10729.00","11254.00"
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|SE3","11118.00","11581.00"
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|SE3","11430.00","11732.00"
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|SE3","11467.00","11810.00"
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|SE3","11350.00","11689.00"
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|SE3","11144.00","11411.00"
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|SE3","10804.00","11025.00"
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|SE3","10430.00","10651.00"
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|SE3","10049.00","10250.00"
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|SE3","9706.00","9819.00"
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|SE3","10245.00","9563.00"
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|SE3","10031.00","9416.00"
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|SE3","9917.00","9366.00"
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|SE3","9862.00","9350.00"
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|SE3","9880.00","9340.00"
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|SE3","10006.00","9410.00"
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|SE3","10289.00","9612.00"
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|SE3","10661.00","9975.00"
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|SE3","11110.00","10306.00"
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|SE3","11476.00","10689.00"
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|SE3","11769.00","11142.00"
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|SE3","11863.00","11346.00"
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|SE3","11858.00","11453.00"
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|SE3","11823.00","11431.00"
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|SE3","11837.00","11506.00"
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|SE3","12062.00","11853.00"
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|SE3","12345.00","12193.00"
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|SE3","12430.00","12236.00"
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|SE3","12258.00","12060.00"
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|SE3","11956.00","11692.00"
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|SE3","11587.00","11282.00"
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|SE3","11193.00","10898.00"
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|SE3","10791.00","10464.00"
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|SE3","10440.00","10142.00"
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|SE3","10195.00","9890.00"
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|SE3","9991.00","9652.00"
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|SE3","9868.00","9502.00"
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|SE3","9869.00","9424.00"
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|SE3","9939.00","9541.00"
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|SE3","10082.00","9647.00"
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|SE3","10349.00","9858.00"
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|SE3","10700.00","10153.00"
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|SE3","11099.00","10595.00"
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|SE3","11497.00","10967.00"
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|SE3","11828.00","11370.00"
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|SE3","12007.00","11629.00"
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|SE3","12057.00","11683.00"
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|SE3","12069.00","11818.00"
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|SE3","12157.00","11954.00"
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|SE3","12460.00","12248.00"
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|SE3","12801.00","12758.00"
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|SE3","12984.00","12895.00"
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|SE3","12915.00","12709.00"
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|SE3","12739.00","12348.00"
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|SE3","12453.00","12060.00"
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|SE3","12031.00","11658.00"
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|SE3","11569.00","11125.00"
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|SE3","11148.00","10745.00"
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|SE3","10701.00","10483.00"
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|SE3","10514.00","10321.00"
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|SE3","10469.00","10247.00"
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|SE3","10497.00","10195.00"
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|SE3","10597.00","10353.00"
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|SE3","10966.00","10793.00"
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|SE3","11767.00","11775.00"
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|SE3","12548.00","12687.00"
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|SE3","12978.00","13117.00"
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|SE3","13069.00","13244.00"
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|SE3","13262.00","13466.00"
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|SE3","13287.00","13664.00"
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|SE3","13255.00","13754.00"
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|SE3","13193.00","13740.00"
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|SE3","13199.00","13774.00"
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|SE3","13460.00","13946.00"
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|SE3","13614.00","14144.00"
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|SE3","13606.00","14287.00"
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|SE3","13358.00","13939.00"
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|SE3","13033.00","13601.00"
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|SE3","12597.00","12942.00"
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|SE3","12093.00","12281.00"
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|SE3","11576.00","11641.00"
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|SE3","11079.00","11099.00"
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|SE3","10620.00","10816.00"
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|SE3","10360.00","10526.00"
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|SE3","10305.00","10519.00"
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|SE3","10252.00","10536.00"
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|SE3","10370.00","10652.00"
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|SE3","10725.00","11104.00"
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|SE3","11525.00","11979.00"
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|SE3","12331.00","12749.00"
"05/01/2021 08:00:00 - 05/01/2021 09:00:00","BZN|SE3","12688.00","13228.00"
"05/01/2021 09:00:00 - 05/01/2021 10:00:00","BZN|SE3","12852.00","13431.00"
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|SE3","13050.00","13623.00"
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|SE3","13102.00","13676.00"
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|SE3","13049.00","13734.00"
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|SE3","12896.00","13652.00"
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|SE3","12832.00","13675.00"
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|SE3","13105.00","13844.00"
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|SE3","13332.00","14141.00"
"05/01/2021 17:00:00 - 05/01/2021 18:00:00","BZN|SE3","13406.00","14181.00"
"05/01/2021 18:00:00 - 05/01/2021 19:00:00","BZN|SE3","13211.00","13976.00"
"05/01/2021 19:00:00 - 05/01/2021 20:00:00","BZN|SE3","12855.00","13603.00"
"05/01/2021 20:00:00 - 05/01/2021 21:00:00","BZN|SE3","12410.00","13131.00"
"05/01/2021 21:00:00 - 05/01/2021 22:00:00","BZN|SE3","12012.00","12532.00"
"05/01/2021 22:00:00 - 05/01/2021 23:00:00","BZN|SE3","11563.00","12007.00"
"05/01/2021 23:00:00 - 06/01/2021 00:00:00","BZN|SE3","11128.00","11601.00"
"06/01/2021 00:00:00 - 06/01/2021 01:00:00","BZN|SE3","10562.00","11230.00"
"06/01/2021 01:00:00 - 06/01/2021 02:00:00","BZN|SE3","10254.00","11076.00"
"06/01/2021 02:00:00 - 06/01/2021 03:00:00","BZN|SE3","10131.00","10907.00"
"06/01/2021 03:00:00 - 06/01/2021 04:00:00","BZN|SE3","10131.00","10958.00"
"06/01/2021 04:00:00 - 06/01/2021 05:00:00","BZN|SE3","10190.00","11130.00"
"06/01/2021 05:00:00 - 06/01/2021 06:00:00","BZN|SE3","10393.00","11275.00"
"06/01/2021 06:00:00 - 06/01/2021 07:00:00","BZN|SE3","10798.00","11755.00"
"06/01/2021 07:00:00 - 06/01/2021 08:00:00","BZN|SE3","11279.00","12139.00"
"06/01/2021 08:00:00 - 06/01/2021 09:00:00","BZN|SE3","11766.00","12558.00"
