"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SE3","8987.00","8955.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SE3","8897.00","8943.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SE3","8836.00","8929.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SE3","8779.00","8887.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SE3","8806.00","8859.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SE3","8958.00","8880.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|SE3","9184.00","8979.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|SE3","9428.00","9119.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|SE3","9627.00","9269.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|SE3","9783.00","9415.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|SE3","10026.00","9623.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|SE3","10233.00","9910.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|SE3","10361.00","10026.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|SE3","10469.00","10295.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|SE3","10638.00","10578.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|SE3","10956.00","11024.00"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|SE3","11167.00","11586.00"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|SE3","11226.00","11625.00"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|SE3","11155.00","11523.00"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|SE3","10966.00","11400.00"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|SE3","10684.00","11156.00"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|SE3","10384.00","10824.00"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|SE3","10055.00","10436.00"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|SE3","9742.00","10024.00"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|SE3","9734.00","9632.00"
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|SE3","9496.00","9491.00"
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|SE3","9369.00","9388.00"
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|SE3","9297.00","9290.00"
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|SE3","9352.00","9256.00"
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|SE3","9636.00","9402.00"
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|SE3","10345.00","10154.00"
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|SE3","11042.00","11148.00"
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|SE3","11438.00","11597.00"
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|SE3","11503.00","11628.00"
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|SE3","11660.00","11657.00"
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|SE3","11711.00","11828.00"
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|SE3","11749.00","11896.00"
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|SE3","11740.00","11804.00"
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|SE3","11781.00","11848.00"
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|SE3","12008.00","11985.00"
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|SE3","12166.00","12076.00"
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|SE3","12210.00","12106.00"
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|SE3","12029.00","11988.00"
