"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|SE3","Without sequence","24.03",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|SE3","Without sequence","24.03",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|SE3","Without sequence","24.02",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|SE3","Without sequence","23.19",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|SE3","Without sequence","24.1",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|SE3","Without sequence","25.01",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|SE3","Without sequence","25.62",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|SE3","Without sequence","25.87",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|SE3","Without sequence","26.18",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|SE3","Without sequence","25.74",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|SE3","Without sequence","26.89",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|SE3","Without sequence","27.48",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|SE3","Without sequence","28.04",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|SE3","Without sequence","28.7",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|SE3","Without sequence","29.66",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|SE3","Without sequence","30.38",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|SE3","Without sequence","30.8",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|SE3","Without sequence","30.93",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|SE3","Without sequence","30.78",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|SE3","Without sequence","30.51",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|SE3","Without sequence","30.19",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|SE3","Without sequence","29.94",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|SE3","Without sequence","29.65",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|SE3","Without sequence","29.36",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|SE3","Without sequence","29.4",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|SE3","Without sequence","28.91",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|SE3","Without sequence","28.11",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|SE3","Without sequence","27.89",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|SE3","Without sequence","28.26",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|SE3","Without sequence","30.43",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|SE3","Without sequence","32.85",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|SE3","Without sequence","33.91",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|SE3","Without sequence","34.87",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|SE3","Without sequence","35.22",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|SE3","Without sequence","35.41",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|SE3","Without sequence","35.07",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|SE3","Without sequence","34.85",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|SE3","Without sequence","34.7",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|SE3","Without sequence","34.8",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|SE3","Without sequence","35.93",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|SE3","Without sequence","37.52",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|SE3","Without sequence","38.48",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|SE3","Without sequence","36.88",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|SE3","Without sequence","35.52",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|SE3","Without sequence","35.23",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|SE3","Without sequence","34.74",""
