"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|SE3","9493.00","9735.00"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|SE3","9362.00","9584.00"
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|SE3","9192.00","9438.00"
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|SE3","9094.00","9381.00"
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|SE3","9063.00","9235.00"
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|SE3","9119.00","9346.00"
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|SE3","9292.00","9546.00"
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|SE3","9465.00","9720.00"
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|SE3","9552.00","9939.00"
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|SE3","9687.00","10190.00"
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|SE3","9962.00","10491.00"
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|SE3","10227.00","10786.00"
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|SE3","10336.00","10934.00"
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|SE3","10410.00","10978.00"
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|SE3","10556.00","11082.00"
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|SE3","10919.00","11436.00"
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|SE3","11180.00","11689.00"
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|SE3","11226.00","11732.00"
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|SE3","11102.00","11625.00"
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|SE3","10873.00","11384.00"
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|SE3","10583.00","10973.00"
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|SE3","10257.00","10559.00"
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|SE3","9910.00","10236.00"
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|SE3","9598.00","9758.00"
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|SE3","9485.00","9316.00"
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|SE3","9275.00","9139.00"
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|SE3","9216.00","9143.00"
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|SE3","9218.00","9363.00"
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|SE3","9320.00","10275.00"
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|SE3","9741.00","10735.00"
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|SE3","10576.00","10542.00"
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|SE3","11423.00","11602.00"
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|SE3","11847.00","12098.00"
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|SE3","11939.00","12205.00"
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|SE3","12106.00","12524.00"
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|SE3","12153.00","12621.00"
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|SE3","12099.00","12618.00"
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|SE3","12036.00","12500.00"
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|SE3","12109.00","12530.00"
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|SE3","12450.00","12892.00"
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|SE3","12631.00","13074.00"
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|SE3","12683.00","13198.00"
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|SE3","12511.00","13071.00"
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|SE3","12270.00","12734.00"
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|SE3","11936.00","12177.00"
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|SE3","11524.00","11695.00"
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|SE3","11010.00","10991.00"
"02/01/2018 23:00:00 - 03/01/2018 00:00:00","BZN|SE3","10516.00","10380.00"
"03/01/2018 00:00:00 - 03/01/2018 01:00:00","BZN|SE3","10034.00","9903.00"
"03/01/2018 01:00:00 - 03/01/2018 02:00:00","BZN|SE3","9799.00","9649.00"
"03/01/2018 02:00:00 - 03/01/2018 03:00:00","BZN|SE3","9732.00","9649.00"
"03/01/2018 03:00:00 - 03/01/2018 04:00:00","BZN|SE3","9741.00","9632.00"
"03/01/2018 04:00:00 - 03/01/2018 05:00:00","BZN|SE3","9851.00","9720.00"
"03/01/2018 05:00:00 - 03/01/2018 06:00:00","BZN|SE3","10330.00","10237.00"
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|SE3","11180.00","11144.00"
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|SE3","11939.00","12054.00"
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|SE3","12439.00","12475.00"
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|SE3","12727.00","12516.00"
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|SE3","12890.00","12836.00"
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|SE3","12967.00","12811.00"
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|SE3","12930.00","12860.00"
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|SE3","12880.00","12911.00"
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|SE3","12905.00","13034.00"
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|SE3","13148.00","13364.00"
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|SE3","13270.00","13528.00"
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|SE3","13252.00","13537.00"
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|SE3","13026.00","13303.00"
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|SE3","12749.00","12903.00"
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|SE3","12373.00","12378.00"
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|SE3","11939.00","11855.00"
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|SE3","11395.00","11321.00"
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|SE3","10858.00","10650.00"
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|SE3","9914.00","10163.00"
"04/01/2018 01:00:00 - 04/01/2018 02:00:00","BZN|SE3","9656.00","9923.00"
"04/01/2018 02:00:00 - 04/01/2018 03:00:00","BZN|SE3","9575.00","9802.00"
"04/01/2018 03:00:00 - 04/01/2018 04:00:00","BZN|SE3","9599.00","9543.00"
"04/01/2018 04:00:00 - 04/01/2018 05:00:00","BZN|SE3","9718.00","9498.00"
"04/01/2018 05:00:00 - 04/01/2018 06:00:00","BZN|SE3","10187.00","10278.00"
"04/01/2018 06:00:00 - 04/01/2018 07:00:00","BZN|SE3","10996.00","11565.00"
"04/01/2018 07:00:00 - 04/01/2018 08:00:00","BZN|SE3","11758.00","12732.00"
"04/01/2018 08:00:00 - 04/01/2018 09:00:00","BZN|SE3","12327.00","12883.00"
"04/01/2018 09:00:00 - 04/01/2018 10:00:00","BZN|SE3","12574.00","12723.00"
"04/01/2018 10:00:00 - 04/01/2018 11:00:00","BZN|SE3","12759.00","13083.00"
"04/01/2018 11:00:00 - 04/01/2018 12:00:00","BZN|SE3","12890.00","13228.00"
"04/01/2018 12:00:00 - 04/01/2018 13:00:00","BZN|SE3","12903.00","13459.00"
"04/01/2018 13:00:00 - 04/01/2018 14:00:00","BZN|SE3","12873.00","13402.00"
"04/01/2018 14:00:00 - 04/01/2018 15:00:00","BZN|SE3","12884.00","13220.00"
"04/01/2018 15:00:00 - 04/01/2018 16:00:00","BZN|SE3","13078.00","13677.00"
"04/01/2018 16:00:00 - 04/01/2018 17:00:00","BZN|SE3","13217.00","13693.00"
"04/01/2018 17:00:00 - 04/01/2018 18:00:00","BZN|SE3","13226.00","13694.00"
"04/01/2018 18:00:00 - 04/01/2018 19:00:00","BZN|SE3","13050.00","13431.00"
"04/01/2018 19:00:00 - 04/01/2018 20:00:00","BZN|SE3","12782.00","13007.00"
"04/01/2018 20:00:00 - 04/01/2018 21:00:00","BZN|SE3","12391.00","12620.00"
"04/01/2018 21:00:00 - 04/01/2018 22:00:00","BZN|SE3","11912.00","12061.00"
"04/01/2018 22:00:00 - 04/01/2018 23:00:00","BZN|SE3","11368.00","11533.00"
"04/01/2018 23:00:00 - 05/01/2018 00:00:00","BZN|SE3","10802.00","10942.00"
"05/01/2018 00:00:00 - 05/01/2018 01:00:00","BZN|SE3","10346.00","10506.00"
"05/01/2018 01:00:00 - 05/01/2018 02:00:00","BZN|SE3","10163.00","10171.00"
