"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|SE3","10416.00","10722.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|SE3","10299.00","10626.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|SE3","10194.00","10525.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|SE3","10144.00","10422.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|SE3","10101.00","10381.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|SE3","10086.00","10516.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|SE3","10251.00","10740.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|SE3","10415.00","10842.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|SE3","10737.00","11006.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|SE3","11063.00","11200.00"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|SE3","11274.00","11414.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|SE3","11506.00","11645.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|SE3","11652.00","11865.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|SE3","11691.00","11937.00"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|SE3","11745.00","12151.00"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|SE3","11996.00","12485.00"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|SE3","12173.00","12605.00"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|SE3","12223.00","12664.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|SE3","12076.00","12503.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|SE3","11971.00","12296.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|SE3","11737.00","12048.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|SE3","11445.00","11755.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|SE3","11192.00","11423.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|SE3","10927.00","11227.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|SE3","10977.00","11131.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|SE3","10872.00","11106.00"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|SE3","10851.00","11048.00"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|SE3","10868.00","11021.00"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|SE3","10966.00","11080.00"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|SE3","11200.00","11490.00"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|SE3","11898.00","12178.00"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|SE3","12623.00","12876.00"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|SE3","13093.00","13358.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|SE3","13255.00","13566.00"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|SE3","13376.00","13901.00"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|SE3","13490.00","13995.00"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|SE3","13612.00","14077.00"
