"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|SE3","Without sequence","24.95",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|SE3","Without sequence","24.35",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|SE3","Without sequence","23.98",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|SE3","Without sequence","23.72",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|SE3","Without sequence","23.73",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|SE3","Without sequence","24.06",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|SE3","Without sequence","24.44",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|SE3","Without sequence","24.93",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|SE3","Without sequence","24.9",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|SE3","Without sequence","25.07",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|SE3","Without sequence","25.63",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|SE3","Without sequence","25.92",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|SE3","Without sequence","26.13",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|SE3","Without sequence","26.57",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|SE3","Without sequence","27.3",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|SE3","Without sequence","28.61",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|SE3","Without sequence","30.25",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|SE3","Without sequence","30.19",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|SE3","Without sequence","28.82",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|SE3","Without sequence","28.25",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|SE3","Without sequence","27.32",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|SE3","Without sequence","26.98",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|SE3","Without sequence","26.44",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|SE3","Without sequence","25.64",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|SE3","Without sequence","25.59",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|SE3","Without sequence","24.91",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|SE3","Without sequence","24.74",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|SE3","Without sequence","24.66",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|SE3","Without sequence","24.72",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|SE3","Without sequence","24.92",""
