"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|SE3","8143.00","8375.00"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|SE3","8003.00","8257.00"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|SE3","7849.00","8097.00"
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|SE3","7752.00","8069.00"
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|SE3","7722.00","7953.00"
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|SE3","7847.00","7979.00"
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|SE3","8122.00","8080.00"
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|SE3","8376.00","8293.00"
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|SE3","8542.00","8484.00"
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|SE3","8716.00","8718.00"
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|SE3","9010.00","9167.00"
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|SE3","9280.00","9516.00"
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|SE3","9441.00","9711.00"
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|SE3","9540.00","9912.00"
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|SE3","9783.00","10009.00"
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|SE3","10252.00","10518.00"
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|SE3","10597.00","10956.00"
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|SE3","10723.00","11069.00"
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|SE3","10663.00","11026.00"
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|SE3","10523.00","10853.00"
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|SE3","10307.00","10603.00"
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|SE3","9969.00","10346.00"
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|SE3","9617.00","10032.00"
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|SE3","9322.00","9602.00"
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|SE3","9298.00","9452.00"
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|SE3","9194.00","9551.00"
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|SE3","9195.00","9550.00"
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|SE3","9263.00","9614.00"
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|SE3","9825.00","9761.00"
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|SE3","10237.00","10204.00"
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|SE3","10966.00","11258.00"
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|SE3","11736.00","12570.00"
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|SE3","12159.00","12986.00"
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|SE3","12338.00","13097.00"
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|SE3","12522.00","13411.00"
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|SE3","12549.00","13456.00"
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|SE3","12490.00","13393.00"
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|SE3","12568.00","13269.00"
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|SE3","12681.00","13330.00"
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|SE3","13057.00","13675.00"
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|SE3","13334.00","13956.00"
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|SE3","13403.00","14027.00"
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|SE3","13259.00","13772.00"
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|SE3","13035.00","13518.00"
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|SE3","12712.00","13169.00"
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|SE3","12347.00","12750.00"
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|SE3","11904.00","12184.00"
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|SE3","11519.00","11539.00"
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|SE3","10551.00","11308.00"
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|SE3","10412.00","11012.00"
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|SE3","10379.00","10926.00"
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|SE3","10419.00","10936.00"
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|SE3","10763.00","10894.00"
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|SE3","11195.00","11394.00"
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|SE3","12010.00","12451.00"
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|SE3","12855.00","13639.00"
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|SE3","13369.00","14156.00"
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|SE3","13573.00","14119.00"
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|SE3","13758.00","14241.00"
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|SE3","13787.00","14039.00"
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|SE3","13687.00","13969.00"
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|SE3","13568.00","13806.00"
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|SE3","13677.00","13879.00"
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|SE3","13995.00","14080.00"
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|SE3","14169.00","14064.00"
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|SE3","14150.00","14098.00"
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|SE3","13883.00","13729.00"
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|SE3","13542.00","13181.00"
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|SE3","13079.00","12764.00"
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|SE3","12563.00","12211.00"
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|SE3","12008.00","11587.00"
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|SE3","11502.00","11070.00"
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|SE3","10808.00","10836.00"
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|SE3","10579.00","10548.00"
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|SE3","10504.00","10408.00"
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|SE3","10495.00","10467.00"
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|SE3","10582.00","10678.00"
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|SE3","11067.00","11172.00"
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|SE3","12002.00","12179.00"
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|SE3","13009.00","13113.00"
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|SE3","13693.00","13570.00"
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|SE3","13862.00","13732.00"
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|SE3","14002.00","14029.00"
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|SE3","14153.00","14309.00"
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|SE3","14177.00","14471.00"
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|SE3","14215.00","14438.00"
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|SE3","14255.00","14586.00"
